Bike ID; Farbe; Fahrrad-Typ; Marke; Bremsen; Status
01; blau; E-Bike; KTM; Felgenbremsen; verfuegbar
02; rot; M-Bike; Trek; Scheibenbremsen; verfuegbar
03; weiss; Renn-Rad; Bianchi; Scheibenbremsen; nicht verfuegbar
04; lila; E-Bike; KTM; Scheibenbremsen; defekt 
05; blau; M-Bike; Scott; Felgenbremsen; nicht verfuegbar
06; schwarz; M-Bike; Canyon; Felgenbremsen; verfuegbar
07; weiss; Renn-Rad; Canyon; Scheibenbremsen; verfuegbar
08; blau; E-Bike; Giant; Scheibenbremsen; nicht verfuegbar
09; braun; E-Bike; KTM; Scheibenbremsen; verfuegbar
10; rot; Renn-Rad; Focus; Scheibenbremsen; verfuegbar
